OverallQual,GrLivArea,ExterQual,KitchenQual,GarageCars,TotalBsmtSF,BsmtQual,FullBath,GarageFinish,YearBuilt,FireplaceQu,SalePrice
4,7.049254841255837,3,2,0,0.0,0,2,0,1955,0,11.314474526246391
6,7.188412736496954,3,3,2,6.992096427415888,3,2,2,1965,3,11.982929094215963
5,7.191429330036379,3,3,1,7.2078598714324755,3,1,2,1959,4,12.043553716032399
5,6.784457062637643,3,4,2,6.733401891837359,4,1,2,1983,0,11.877568578558138
5,6.843749949006225,3,3,1,6.843749949006225,4,1,1,1975,0,11.777210959615614
5,7.047517221357296,3,3,1,7.047517221357296,3,1,2,1959,0,11.856515169360305
9,7.468513271496337,5,5,2,7.468513271496337,5,2,2,2005,4,12.675763725937609
7,7.67275789664251,4,4,2,7.2682230211595655,5,1,2,2003,5,12.387085012375499
8,7.412160334945205,4,4,3,7.412160334945205,4,2,2,2006,0,12.428015476267865
4,7.280697195384741,3,3,0,6.601230118728877,3,2,0,1920,0,11.635143097694478
5,6.86171134048073,3,3,1,6.86171134048073,3,1,1,1966,0,11.751942365440728
6,7.293017679772782,3,3,2,6.677083461247136,4,2,3,1997,0,12.083905011555967
6,7.069874128458572,3,3,2,6.704414354964107,3,1,1,1934,4,11.648330101976432
5,6.704414354964107,2,3,2,6.704414354964107,4,1,1,1963,0,11.608235644774552
5,7.215239978730097,3,3,2,5.950642552587727,3,1,1,1955,3,11.77528972943772
6,7.261927092702751,3,3,2,7.261927092702751,3,2,2,1964,4,12.103486056755072
8,7.461065514354283,4,4,2,6.877296071497429,4,2,3,1999,0,12.058152515453552
7,7.450079569807499,4,4,2,6.756932389247553,4,2,2,2004,0,12.188417710291453
10,7.987864096085687,5,4,3,7.251344983372214,5,3,3,2006,4,12.991753427493052
5,6.659293919683638,3,3,1,6.659293919683638,3,1,1,1972,0,11.73526869611367
6,7.05444965813294,3,4,2,7.05444965813294,4,1,1,2004,0,11.970350312009105
5,7.01301578963963,3,2,1,6.272877006546167,3,1,1,1920,0,11.522875795823397
8,7.222566018822171,4,4,2,7.222566018822171,4,2,2,2006,4,12.218495165528731
7,7.444248649496705,3,3,2,6.3561076606958915,3,2,1,1921,0,11.84939770159144
7,7.617759576608505,3,4,2,6.963189985870238,4,2,2,1997,0,12.299107511497363
8,7.813187267521416,4,4,3,7.04141166379481,5,2,2,2004,4,12.666657052859417
7,7.699389406256737,3,3,2,7.5740450053721995,4,2,2,1970,4,12.100712129872347
7,7.2991214627108,4,4,2,7.2813856635702825,4,2,2,2003,0,12.328290278254423
4,6.616065185132817,3,3,1,6.616065185132817,3,1,1,1945,0,11.289781913656018
7,7.734996194022781,4,3,2,7.1731917424865985,3,2,3,1953,3,12.323855681186558
7,7.706612913964197,3,3,2,7.706612913964197,4,2,3,1973,4,12.404923504275338
4,6.739336627357174,3,3,2,6.739336627357174,3,1,1,1982,0,11.771436160121729
7,7.4489161025442,3,3,2,6.723832440821209,4,2,3,1998,3,12.128111104060462
5,6.990256500493881,3,3,2,6.990256500493881,3,1,1,1954,0,11.883799128308773
3,7.380879035564116,4,3,1,6.733401891837359,2,2,1,1915,0,11.584315461056901
4,6.895682697747868,3,3,1,6.135564891081739,4,1,1,1973,0,11.418614785498987
4,6.858565034791365,3,3,1,6.858565034791365,3,1,1,1956,0,11.818570237796182
5,7.158513997329321,3,3,1,6.51025834052315,3,1,1,1948,0,11.751942365440728
4,7.477604243197589,3,3,0,7.477604243197589,3,2,0,1968,0,11.824079893607152
5,7.114769448366463,3,3,2,6.0867747269123065,3,1,1,1910,0,11.608235644774552
6,7.669495251007694,3,4,1,6.79794041297493,4,2,3,1968,4,12.173032791451973
6,7.198183577101943,3,3,2,7.1204443723924875,5,2,3,1998,0,11.941455846009388
8,7.354362330421477,3,4,3,7.354362330421477,4,2,2,2007,4,12.409013489526863
5,6.970730078143525,3,3,2,6.970730078143525,3,1,1,1960,0,11.747997587149712
7,7.295735072749282,3,3,2,5.950642552587727,4,2,3,1995,3,12.034691028774553
8,7.790282380703483,4,4,2,7.160845906664299,4,2,1,1991,3,12.468436909997665
6,7.352441100243583,4,4,2,6.52795791762255,4,2,3,2005,4,12.066810578196666
6,7.1098794630722715,4,4,2,6.416732282512326,4,2,2,2009,0,12.010665849187564
3,7.330405211844402,2,2,0,6.920671504248683,3,1,0,1915,0,11.350406535472453
4,6.897704943128636,3,3,0,6.897704943128636,4,1,0,1994,0,11.724805824005728
4,6.946975992135418,3,3,2,0.0,0,1,1,1950,0,11.607326140391713
5,7.118826249062078,3,3,2,7.118826249062078,3,1,1,1961,0,11.498826540590727
5,6.871091294610546,3,3,2,6.775366090936392,4,1,1,1921,0,12.004568269319446
6,7.736743682453495,3,3,2,7.101675971619444,3,2,1,1910,4,11.804848531679264
6,7.487733761436444,3,4,2,6.714170529909472,4,2,2,1997,0,12.229545001715316
6,7.293017679772782,5,3,2,6.522092798170152,4,2,3,1993,3,12.128111104060462
7,7.370230641807081,4,4,2,7.370230641807081,4,2,2,1999,0,12.273731294003989
4,6.866933284461882,3,3,1,6.866933284461882,3,1,3,1965,0,11.458997122944673
5,6.727431724850855,3,3,1,6.126869184114185,3,1,1,1920,0,11.326595886778735
4,7.110696122978827,3,3,0,6.856461984594587,3,1,0,1959,0,11.76718001130949
6,7.383989457978509,3,4,2,7.383989457978509,3,2,2,1977,3,12.230765258120545
6,7.4570320891223805,4,4,2,6.608000625296087,4,2,3,1985,3,12.089538829274222
5,7.336285660021297,3,3,2,0.0,0,2,1,1979,0,11.686576205316552
7,7.111512116496157,3,4,3,7.111512116496157,4,2,2,2009,0,12.200557464842063
7,7.505492274737424,3,3,1,6.946975992135418,3,1,1,1931,3,12.040608205802641
8,7.596894438144544,4,4,2,6.959398512133975,5,2,2,2003,4,12.429216196844383
4,6.953684210870537,3,3,1,6.46302945692067,2,1,1,1885,0,11.512925464970229
5,6.670766320845874,3,3,1,6.670766320845874,3,1,1,1948,0,11.652687407345388
5,7.324489979348532,3,2,0,6.675823221634848,3,2,0,1919,0,11.652687407345388
6,7.519692404116539,3,3,2,7.519692404116539,4,2,2,1977,3,12.154779351142624
6,7.5256399750415355,3,3,1,6.901737206656574,3,2,1,1954,0,11.82700601127654
7,7.265429723253953,3,3,2,5.950642552587727,4,2,3,2000,3,12.100712129872347
7,7.899524472032198,4,5,3,7.142036574706803,5,2,3,2007,4,12.858319703517948
6,7.7226775164680035,3,4,2,7.500529485395295,4,2,1,1953,4,12.287652632522597
6,7.749322464660356,3,4,1,6.93537044601511,3,2,1,1945,3,12.46651198158808
6,7.284820912568604,3,3,2,6.591673732008658,4,2,1,1999,2,12.078239274020289
5,6.9957661563048505,3,3,1,6.9957661563048505,3,1,1,1962,1,11.842229212112828
5,7.025538314638521,3,3,2,7.025538314638521,4,1,1,2006,0,11.951180395901384
7,8.07775756373692,3,4,3,7.422373700986824,4,3,1,1990,3,12.676076274775909
6,7.283448228756631,4,4,2,6.590301048196686,4,2,3,2005,4,12.007560729337492
6,6.895682697747868,3,3,2,6.843749949006225,3,1,1,1969,3,12.100712129872347
4,7.023758954738443,3,3,1,6.595780513961311,3,1,1,1939,0,11.512925464970229
6,6.984716320118266,3,3,1,6.984716320118266,3,1,1,1958,0,11.820410164718188
6,7.089243155027514,4,4,2,7.089243155027514,4,2,2,1993,0,11.94405831982697
6,7.368970402194793,3,3,2,7.216709486709457,4,2,1,1979,3,12.106252310247962
6,6.625392368007956,3,3,0,6.253828811575473,3,1,0,1935,0,11.344506813345266
6,6.86484777797086,3,3,2,6.982862751468942,4,2,2,1976,3,11.759785542901755
5,6.733401891837359,3,3,0,6.51025834052315,3,1,0,1930,3,11.37366339763672
6,7.206377291472252,3,3,2,6.492239835020471,3,1,2,1966,2,11.951180395901384
5,6.959398512133975,3,5,2,6.915723448631314,3,1,2,1958,0,11.918390573078392
7,7.676473646389156,3,4,2,6.828712071641684,3,2,3,1966,4,12.328290278254423
6,7.627544390488503,4,4,2,6.899723107284872,4,2,2,2000,3,12.404923504275338
5,7.190676034332207,3,4,2,6.968850378341948,3,1,1,1959,0,11.923378114589433
8,7.16703787691222,4,4,2,7.144407180321139,5,2,3,2001,0,12.301382825334498
5,7.450660796211539,3,3,2,7.2868764117507,3,2,2,1968,3,12.100712129872347
7,7.427738840532894,3,3,2,7.1731917424865985,3,2,1,1970,4,12.066810578196666
5,7.101675971619444,3,3,1,7.101675971619444,3,2,2,1967,2,11.870599909242044
7,7.580189417944541,3,3,3,7.553286605600419,3,3,1,1988,0,12.049418835484797
8,7.524021415206125,4,4,3,6.911747300251674,4,2,3,1999,3,12.345834587905333
6,7.475339236566737,3,4,2,6.833031732786201,4,2,2,1997,0,12.352335152508426
4,6.761572768804055,3,3,0,6.761572768804055,3,1,0,1971,1,11.652687407345388
7,7.458186157340487,4,4,2,7.458186157340487,4,2,3,2005,0,12.468436909997665
5,7.233455418621439,3,3,2,6.813444599510896,3,2,1,1952,0,12.01974306733868
7,7.313886831633462,4,4,2,7.306531398939505,4,2,2,1999,0,12.225875272826354
5,7.454719949364001,3,3,2,7.454719949364001,3,2,1,1963,0,11.736069016284437
6,7.443663683115591,4,4,2,6.877296071497429,4,2,1,2004,0,11.77528972943772
5,6.774223886357614,3,3,1,6.5722825426940075,3,1,1,1931,0,11.56171562913966
7,7.618251097876695,4,4,2,6.784457062637643,4,2,3,2001,4,12.312682380588432
7,6.984716320118266,3,4,0,6.984716320118266,4,1,0,2004,0,11.856515169360305
5,7.203405521083095,3,3,1,6.79794041297493,4,1,1,1936,0,11.652687407345388
5,6.876264611890766,3,3,2,6.876264611890766,3,1,1,1975,0,11.711776323715394
8,7.444248649496705,4,4,3,7.444248649496705,5,2,2,2007,4,12.827729194939907
6,7.597396320212795,3,3,2,6.715383386334681,3,2,2,1971,4,12.154779351142624
6,7.132497551660044,3,3,2,7.379008127628304,4,1,2,1960,4,12.367340793126296
6,7.090076835776092,3,3,1,7.090076835776092,3,1,1,1923,0,11.736069016284437
6,6.999422467507961,3,3,0,6.349138991379798,3,1,0,1924,0,11.27720313144916
5,6.946975992135418,3,3,2,0.0,0,1,1,1950,0,11.603679828238693
8,7.584773077612199,4,5,3,6.651571873589727,5,2,3,2009,4,12.504323669331189
7,7.5740450053721995,4,4,2,6.898714534329988,4,2,2,2004,4,12.448626590364206
7,7.808729306744399,4,4,2,7.238496840894365,4,2,2,2005,4,12.676076274775909
6,7.116394144093465,3,3,2,7.116394144093465,4,2,1,1984,0,11.998433280751929
9,7.889084407035514,4,5,3,7.360103972989152,5,2,3,2003,4,12.929991484756872
7,7.340186835320115,4,4,2,7.340186835320115,4,2,2,2005,4,12.301382825334498
4,6.782192056006791,3,3,0,6.782192056006791,3,1,0,1956,0,11.544424132029599
6,7.38770923908104,3,4,1,7.046647277848756,3,2,1,1926,0,11.931635799828413
5,7.2115567333138015,3,3,0,6.467698726104354,3,2,0,1940,0,11.755871643580617
5,7.532088143541722,4,3,1,7.388327859577107,3,1,3,1955,4,12.154779351142624
8,7.6783263565068856,4,5,3,7.366445148327599,5,1,3,2007,4,12.693498620467778
7,7.450079569807499,4,4,2,6.733401891837359,4,2,3,2004,4,12.119969946476761
8,7.442492722794441,4,3,2,7.430114138561801,4,2,2,1981,3,12.337100907936577
5,7.231287004327616,3,3,2,6.579251212010101,3,1,1,1941,0,11.763684183317412
6,7.412160334945205,3,3,2,6.984716320118266,3,1,3,1960,4,12.2783933071098
7,7.4770384723196965,4,4,2,6.96979066990159,4,2,2,1987,3,12.384218830913648
6,7.216709486709457,3,3,2,7.216709486709457,3,1,1,1961,3,12.0015054797889
6,7.409136443920128,3,3,2,7.381501894506707,4,2,3,1986,3,12.122691036591123
6,7.67693714581808,3,4,2,7.091742115095153,3,2,1,1950,4,12.400816722322686
6,7.630461261783627,4,3,2,7.048386408721883,4,2,1,1988,3,12.259613412458204
5,7.560080465021827,4,4,2,6.9584483932976555,3,2,1,1958,4,12.058152515453552
9,7.711548979629146,5,5,3,7.703459047867175,5,2,3,2008,4,13.1260306447518
5,6.875232087276577,4,3,2,6.875232087276577,3,1,1,1923,0,11.512925464970229
6,7.329749689041512,4,4,2,6.628041376179533,4,2,1,2000,3,12.083905011555967
7,7.496652438168283,3,3,1,6.675823221634848,2,1,1,1920,4,12.206572520571825
5,7.200424892944957,3,3,1,0.0,0,1,2,1957,4,11.695247021764184
7,7.641084249174914,3,4,2,7.216709486709457,4,2,1,2003,0,12.206072645530174
5,7.132497551660044,3,3,2,6.222576268071369,2,1,1,1908,0,11.751942365440728
7,7.104144092987527,3,4,2,7.080026499922591,4,2,1,1990,0,12.061046873479915
5,7.412160334945205,3,3,1,6.492239835020471,2,2,1,1916,0,11.813030057420567
5,7.1098794630722715,3,3,2,6.990256500493881,4,0,1,1979,3,11.940393392554734
8,7.373374309910049,4,5,2,7.373374309910049,5,1,3,2001,4,12.56374708980199
8,7.910957382845589,4,4,2,6.748759547491679,4,2,1,1932,3,12.66032791780777
7,7.2991214627108,3,4,2,6.586171654854675,3,1,3,1972,0,12.122691036591123
7,7.266128779556451,4,4,2,7.266128779556451,4,2,3,1999,0,12.165250651009918
7,7.443663683115591,4,4,2,6.877296071497429,4,2,1,2004,0,11.77528972943772
5,6.761572768804055,3,3,1,6.761572768804055,3,1,1,1972,0,11.751942365440728
6,7.283448228756631,3,3,2,6.75110146893676,4,2,1,1976,3,11.908340237224891
7,7.453561871643373,5,5,3,7.453561871643373,5,2,3,2007,4,12.650348126203179
8,8.043020885298283,4,4,2,7.215239978730097,3,2,1,1918,5,12.367340793126296
6,7.709308333385869,3,3,0,6.626717749249025,3,1,0,1912,0,11.55214617812351
8,7.44600149832412,4,5,3,7.44600149832412,5,2,3,2004,4,12.524162674153336
4,7.02197642307216,3,3,2,7.02197642307216,4,2,2,2003,0,11.84939770159144
6,7.153833801578843,3,3,2,7.086737934510577,3,2,1,1977,2,12.052338545588132
6,7.177782416195197,3,3,1,6.424869023905388,2,2,1,1924,0,11.626254150277232
6,6.742880635791903,4,4,2,6.742880635791903,4,1,2,2004,4,11.911701584927597
5,7.157735484249907,3,3,1,6.579251212010101,3,1,1,1947,0,11.608235644774552
7,7.273786317844895,3,3,2,7.261225091971921,4,2,2,1990,0,12.103486056755072
5,7.4360278163518485,3,3,1,7.038783541388542,3,1,2,1962,3,11.876873892875459
4,7.003065458786462,3,3,1,7.003065458786462,3,1,2,1960,1,11.856515169360305
7,7.631431664576906,4,3,2,7.053585727193677,4,2,3,1988,4,12.531772785169476
6,6.9957661563048505,3,3,2,6.9957661563048505,4,1,2,1964,0,11.884489021402711
5,6.761572768804055,3,3,0,6.761572768804055,3,1,0,1925,0,11.49272275765271
6,7.10002716662926,3,4,2,7.10002716662926,4,2,2,2009,0,12.133501952695338
7,7.524021415206125,3,4,2,6.802394763324311,4,2,2,2009,3,12.439871229831715
5,6.897704943128636,3,3,2,6.897704943128636,4,1,1,1995,0,11.957611286231675
6,7.238496840894365,3,3,1,6.535241271013659,4,1,3,1977,0,11.993807212363148
5,7.119635638017636,3,4,1,6.975413927455952,3,1,1,1957,2,11.80894766169701
7,7.269616749608169,4,4,2,7.269616749608169,4,2,1,2004,0,12.254862809699606
4,7.191429330036379,3,3,1,6.530877627725885,3,1,1,1925,0,11.580584113444043
7,7.577633832602728,4,4,2,6.682108597449809,3,1,1,1939,3,12.649154617209645
7,7.129297548929373,4,4,2,7.129297548929373,4,2,3,2005,0,12.0271851854705
7,7.311886164077165,4,4,2,7.311886164077165,4,2,2,2006,0,12.230277334226992
6,7.726212650507529,4,4,2,6.917705609835305,4,2,2,2002,3,12.206072645530174
6,7.347299700743164,3,3,2,6.569481420414296,4,2,2,1975,3,12.100156419938624
4,6.761572768804055,3,3,2,6.761572768804055,3,1,1,1971,0,11.48246625748552
10,7.779885115070522,5,5,3,7.779885115070522,5,2,3,2003,5,12.864240107194092
5,7.171656822768514,3,3,1,6.4457198193855785,3,2,1,1971,0,11.626254150277232
7,7.832014180505469,4,4,3,7.0925737159746784,4,2,2,1995,3,12.577636201962656
6,6.894670039433482,3,3,1,6.180016653652572,3,1,1,1970,0,11.571194373094205
5,6.815639990074331,3,3,1,6.815639990074331,3,1,1,1967,2,11.736069016284437
7,7.349230824613334,4,4,2,7.224753405767971,4,2,3,2005,3,12.167851432709975
6,7.085064293952548,3,3,1,7.085064293952548,3,1,2,1959,0,11.904967552746252
8,7.935229539816907,4,5,3,7.2875606403097235,4,2,3,1995,3,12.90669184092882
6,6.894670039433482,3,3,1,6.180016653652572,3,1,1,1972,1,11.456355113481834
5,6.795705775173514,3,3,1,6.795705775173514,3,1,1,1976,0,11.761346823468706
6,7.580699752224563,4,4,2,6.756932389247553,4,2,3,2002,3,12.285345826424681
6,6.894670039433482,3,3,1,6.180016653652572,3,1,1,1971,0,11.401993904262946
7,7.254177846456518,4,4,2,7.254177846456518,4,2,2,2004,0,12.130810161029627
7,7.463936604468925,4,4,2,6.903747257584598,4,2,2,1993,0,12.178187442040638
8,7.434847875211999,5,4,3,7.434847875211999,5,2,3,2007,0,12.669806661762314
6,7.304515946460155,3,3,1,6.5998704992128365,3,1,1,1945,4,11.635143097694478
8,7.356279876550748,4,4,2,7.356279876550748,4,2,2,2008,0,12.478006361013815
5,6.763884908562435,3,4,0,6.530877627725885,3,1,0,1945,0,11.612770799939945
5,7.272398392570047,3,3,1,6.29156913955832,3,1,1,1900,0,11.27720313144916
6,7.104144092987527,3,3,1,6.439350371100098,4,1,2,1980,3,11.695247021764184
7,7.6544432264701125,4,4,2,6.854354502255021,4,2,2,1994,2,12.230765258120545
7,7.534762657037537,3,3,2,7.520234556474628,4,2,3,1988,3,12.394624752074764
6,7.564238475170491,3,2,1,6.927557906278317,2,2,1,1910,0,11.827736204810263
6,7.226209010100671,3,3,2,7.220373836723949,3,1,1,1954,3,11.84939770159144
7,7.419380582918692,4,4,2,6.733401891837359,4,2,2,2003,0,12.100712129872347
6,7.670428522190693,4,4,2,7.275172319452771,4,2,3,1958,3,12.531772785169476
3,7.174724309836376,3,2,0,6.590301048196686,3,1,0,1940,0,11.245046019814627
8,7.393263094763838,4,4,2,7.360739903058278,4,2,3,2006,4,12.367340793126296
6,7.402451520818244,4,4,2,6.682108597449809,4,2,2,2004,0,12.061046873479915
6,7.171656822768514,3,4,1,7.171656822768514,4,2,2,1964,0,11.970350312009105
5,7.1808311990445555,3,3,1,7.1808311990445555,3,1,2,1957,0,11.884489021402711
7,7.736743682453495,4,4,2,6.882437470997847,4,2,3,1999,3,12.345834587905333
6,7.454719949364001,4,4,2,6.761572768804055,4,2,2,2003,0,12.24288661865289
7,7.38025578842646,4,4,2,7.38025578842646,4,2,2,2006,4,12.301382825334498
7,7.491087593534876,4,4,2,6.870053411798126,4,2,2,2001,3,12.352335152508426
5,6.782192056006791,3,3,1,0.0,0,1,1,1956,0,11.48246625748552
6,7.231287004327616,3,3,2,7.216709486709457,3,1,1,1962,3,12.078239274020289
8,7.853216388156072,4,5,3,7.301147805856032,5,2,3,2007,4,12.528156144699286
6,7.10002716662926,3,3,2,6.226536669287466,4,1,1,1977,3,11.925035115797062
5,7.182352111885263,3,3,2,6.8308742346461795,3,1,1,1929,0,11.77528972943772
5,6.638567789166521,3,3,2,6.522092798170152,2,1,1,1925,0,11.198214720130528
6,7.259819610363186,3,4,2,7.259819610363186,4,2,3,1981,3,12.075394321888057
6,7.32052696227274,3,3,2,6.687108607866515,4,2,3,1997,3,12.128111104060462
5,7.692569648067906,3,4,1,6.579251212010101,3,2,1,1939,4,12.097930486910471
5,6.656726524178391,3,3,1,6.606650186198215,3,1,3,1940,4,11.699405031912846
6,7.014814351275545,3,3,1,7.04141166379481,3,1,2,1976,2,11.904967552746252
8,7.569927655242652,4,4,3,6.9985096422506015,4,2,2,2006,4,12.491251587763836
7,7.217443431696533,3,3,2,7.233455418621439,4,1,1,1954,3,12.394624752074764
8,7.727535110475448,4,4,3,7.049254841255837,4,2,3,1999,4,12.577636201962656
6,7.397561535524052,3,3,1,7.122866658599083,3,2,2,1958,4,11.842229212112828
5,6.704414354964107,3,3,1,6.704414354964107,3,1,1,1982,0,11.732060994886899
7,7.344719054149673,4,5,2,6.858565034791365,3,2,1,1925,0,12.230765258120545
7,7.352441100243583,4,4,2,7.352441100243583,5,2,3,2003,0,12.211060187041213
4,6.761572768804055,3,3,2,6.761572768804055,3,1,1,1951,0,11.856515169360305
9,7.659642954564682,5,5,3,7.659642954564682,5,2,3,2006,5,12.936751613811438
7,7.611842399580417,3,3,2,7.05617528410041,4,2,3,1977,3,12.165250651009918
7,7.591861714889934,4,4,2,6.693323668269949,4,2,3,1989,3,12.339291489316397
6,7.140453043101158,4,4,2,7.140453043101158,4,2,3,2006,0,12.128111104060462
7,7.1808311990445555,4,4,2,7.1808311990445555,4,2,2,2007,4,12.24288661865289
8,7.291656209174461,4,4,3,7.291656209174461,4,2,3,2008,4,12.407379502235209
6,7.362010551259734,4,4,2,7.362010551259734,4,2,2,1992,0,12.096257779522967
7,7.1308988302963465,4,4,2,6.437751649736401,4,2,2,2006,0,12.011880916165731
6,7.458186157340487,3,4,2,6.815639990074331,3,1,2,1962,4,11.976659481202368
4,6.754604099487962,3,3,0,6.754604099487962,3,1,0,1971,0,11.385092093460344
5,6.802394763324311,3,3,1,6.782192056006791,3,1,1,1967,0,11.711776323715394
6,7.241366283322318,3,3,1,6.548219102762372,3,1,1,1915,0,11.941944326032129
8,7.5595594960077,4,4,2,6.983789965258135,4,2,2,2006,4,12.359780370124389
5,7.447751280047908,3,2,0,6.659293919683638,3,2,0,1912,0,11.819674600139235
5,7.447751280047908,3,3,1,6.643789733147672,3,1,1,1949,4,11.782952602183288
7,7.724446645633537,3,4,2,6.678342114654332,3,2,3,1977,3,12.367340793126296
6,7.404887575616125,3,3,2,7.255591274253665,3,1,3,1953,4,12.025749091398891
6,6.910750787961936,3,3,2,6.910750787961936,3,1,1,1984,0,11.867097278690842
5,7.351158226430694,3,3,1,6.813444599510896,3,1,1,1950,0,11.931635799828413
7,7.575584651557793,4,4,2,6.882437470997847,4,2,2,1997,3,12.384218830913648
6,7.463363045520021,4,3,2,6.553933404025811,3,1,1,1968,4,12.072541252905651
6,7.049254841255837,3,4,1,6.9957661563048505,3,1,1,1950,4,11.973509872299472
5,7.197435354096591,3,3,1,7.060476365999801,3,1,1,1953,4,11.964001084330445
8,7.804659297056102,4,4,2,6.93537044601511,4,2,3,1998,3,12.495003937382387
7,7.340186835320115,4,4,3,7.340186835320115,4,2,2,2001,3,12.230765258120545
5,6.795705775173514,3,3,2,6.795705775173514,3,1,1,1972,0,11.917723684090689
8,7.600902459542082,4,4,3,7.600902459542082,4,2,3,2004,0,12.631013530138995
7,7.715569534520208,4,4,3,6.551080335043404,4,2,2,1990,3,12.323855681186558
6,7.2485040723706105,3,2,0,5.765191102784844,3,1,0,1920,0,11.401993904262946
4,6.7580945044277305,3,3,2,6.7580945044277305,3,1,1,1940,0,11.320553572322773
9,7.572502985020384,4,5,3,7.547501682814967,5,2,3,2003,5,12.793859310432293
6,7.313886831633462,3,4,2,6.546785410760524,4,2,3,1993,3,12.017330520933296
6,6.879355804460439,3,3,1,6.879355804460439,3,1,1,1948,4,11.790557201568507
5,7.0192966537150445,3,3,2,6.675823221634848,4,1,1,1939,4,11.694413341015606
7,7.403061091090091,3,5,2,6.590301048196686,3,1,1,1925,4,12.089538829274222
7,7.266827347520591,4,4,2,6.573680166960646,4,2,3,2004,4,12.146853285870202
7,7.763446388727362,4,5,2,6.739336627357174,4,2,2,1980,3,12.468436909997665
8,7.580189417944541,4,4,3,6.992096427415888,4,2,2,2006,4,12.506177237980511
7,7.880804344674901,4,4,3,7.205635176410364,4,2,2,1993,3,12.468436909997665
7,7.294377299288821,3,3,2,7.22402480828583,4,2,1,1980,3,12.141534124392603
9,7.86172707782398,3,4,3,7.130098510125578,5,3,2,2006,0,12.7444443677961
8,7.811163385025279,4,4,3,7.035268599281097,5,2,3,2004,4,12.777052192115912
7,7.912056888179006,4,4,2,7.31455283232408,3,2,3,1986,3,12.614865543731012
3,7.0587581525186645,3,3,1,7.057897937411856,3,1,1,1955,0,11.745425111208464
7,7.999007213243955,4,4,2,6.565264970035361,4,2,3,1967,4,12.396693005138824
